allocation_id,participant_id,participant_slot,set_id,set_trial_index,global_trial_index,document_id,document_index,condition_id,enriched_file,degree_value,baseline_side,enriched_side,document_exposure_number,randomization_seed,rating,response_time,assignment_version,study_version
n30-round2-three-versions-v1-slot-01,,1,1,13,13,P7_DOC_A,13,D1_derived,D1_derived.html,1,left,right,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,14,14,P9_DOC_B,18,D5_maximal,D5_maximal.html,6,left,right,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,15,15,P17_DOC_A,33,D4_derived,D4_derived.html,5,left,right,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,16,16,P12_DOC_B,24,W_writer_optimal,W_writer_optimal.html,3,right,left,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,17,17,P10_DOC_B,20,D1_derived,D1_derived.html,1,right,left,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,18,18,P7_DOC_B,14,D3_derived,D3_derived.html,4,left,right,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,19,19,P15_DOC_B,30,D5_maximal,D5_maximal.html,6,right,left,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,20,20,P11_DOC_B,22,D2_derived,D2_derived.html,2,right,left,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,21,21,P15_DOC_A,29,W_writer_optimal,W_writer_optimal.html,3,left,right,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,22,22,P14_DOC_A,27,D2_derived,D2_derived.html,2,right,left,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,23,23,P2_DOC_A,3,D2_derived,D2_derived.html,2,right,left,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,24,24,P8_DOC_A,15,D2_derived,D2_derived.html,2,left,right,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,25,25,P10_DOC_A,19,D3_derived,D3_derived.html,4,left,right,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,26,26,P2_DOC_B,4,D4_derived,D4_derived.html,5,right,left,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,27,27,P13_DOC_A,25,D1_derived,D1_derived.html,1,left,right,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,28,28,P19_DOC_B,38,D3_derived,D3_derived.html,4,right,left,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,29,29,P13_DOC_B,26,D3_derived,D3_derived.html,4,right,left,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,30,30,P12_DOC_A,23,D5_maximal,D5_maximal.html,6,right,left,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,31,31,P1_DOC_A,1,D1_derived,D1_derived.html,1,right,left,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,32,32,P4_DOC_B,8,D1_derived,D1_derived.html,1,right,left,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,33,33,P6_DOC_B,12,W_writer_optimal,W_writer_optimal.html,3,left,right,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,34,34,P16_DOC_A,31,D3_derived,D3_derived.html,4,right,left,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,35,35,P11_DOC_A,21,D4_derived,D4_derived.html,5,right,left,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,36,36,P5_DOC_B,10,D2_derived,D2_derived.html,2,right,left,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,37,37,P9_DOC_A,17,W_writer_optimal,W_writer_optimal.html,3,left,right,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,1,38,38,P3_DOC_B,6,D5_maximal,D5_maximal.html,6,right,left,1,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:1:rotation:0,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,1,39,P9_DOC_B,18,D1_derived,D1_derived.html,1,left,right,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,2,40,P17_DOC_A,33,D5_maximal,D5_maximal.html,6,right,left,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,3,41,P12_DOC_B,24,D3_derived,D3_derived.html,4,right,left,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,4,42,P10_DOC_B,20,D2_derived,D2_derived.html,2,right,left,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,5,43,P7_DOC_B,14,D4_derived,D4_derived.html,5,left,right,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,6,44,P15_DOC_B,30,D1_derived,D1_derived.html,1,left,right,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,7,45,P11_DOC_B,22,W_writer_optimal,W_writer_optimal.html,3,right,left,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,8,46,P15_DOC_A,29,D3_derived,D3_derived.html,4,right,left,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,9,47,P14_DOC_A,27,W_writer_optimal,W_writer_optimal.html,3,right,left,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,10,48,P2_DOC_A,3,W_writer_optimal,W_writer_optimal.html,3,right,left,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,11,49,P8_DOC_A,15,W_writer_optimal,W_writer_optimal.html,3,left,right,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,12,50,P10_DOC_A,19,D4_derived,D4_derived.html,5,left,right,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,13,51,P2_DOC_B,4,D5_maximal,D5_maximal.html,6,left,right,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,14,52,P13_DOC_A,25,D2_derived,D2_derived.html,2,right,left,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,15,53,P19_DOC_B,38,D4_derived,D4_derived.html,5,right,left,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,16,54,P13_DOC_B,26,D4_derived,D4_derived.html,5,right,left,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,17,55,P12_DOC_A,23,D1_derived,D1_derived.html,1,right,left,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,18,56,P1_DOC_A,1,D2_derived,D2_derived.html,2,right,left,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,19,57,P4_DOC_B,8,D2_derived,D2_derived.html,2,left,right,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,20,58,P6_DOC_B,12,D3_derived,D3_derived.html,4,left,right,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,21,59,P16_DOC_A,31,D4_derived,D4_derived.html,5,left,right,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,22,60,P11_DOC_A,21,D5_maximal,D5_maximal.html,6,right,left,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,23,61,P5_DOC_B,10,W_writer_optimal,W_writer_optimal.html,3,left,right,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,24,62,P9_DOC_A,17,D3_derived,D3_derived.html,4,left,right,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,25,63,P3_DOC_B,6,D1_derived,D1_derived.html,1,left,right,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,26,64,P14_DOC_B,28,D5_maximal,D5_maximal.html,6,right,left,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,27,65,P8_DOC_B,16,D5_maximal,D5_maximal.html,6,left,right,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,28,66,P18_DOC_A,35,D1_derived,D1_derived.html,1,left,right,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,29,67,P3_DOC_A,5,D3_derived,D3_derived.html,4,right,left,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,30,68,P1_DOC_B,2,D4_derived,D4_derived.html,5,right,left,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,31,69,P19_DOC_A,37,D2_derived,D2_derived.html,2,right,left,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,32,70,P6_DOC_A,11,D1_derived,D1_derived.html,1,left,right,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,33,71,P17_DOC_B,34,W_writer_optimal,W_writer_optimal.html,3,left,right,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,34,72,P4_DOC_A,7,D4_derived,D4_derived.html,5,left,right,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,35,73,P5_DOC_A,9,D5_maximal,D5_maximal.html,6,left,right,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,36,74,P18_DOC_B,36,D3_derived,D3_derived.html,4,right,left,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,37,75,P16_DOC_B,32,D2_derived,D2_derived.html,2,right,left,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,2,38,76,P7_DOC_A,13,D2_derived,D2_derived.html,2,left,right,2,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:2:rotation:13,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,1,77,P13_DOC_A,25,W_writer_optimal,W_writer_optimal.html,3,left,right,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,2,78,P19_DOC_B,38,D5_maximal,D5_maximal.html,6,left,right,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,3,79,P13_DOC_B,26,D5_maximal,D5_maximal.html,6,right,left,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,4,80,P12_DOC_A,23,D2_derived,D2_derived.html,2,left,right,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,5,81,P1_DOC_A,1,W_writer_optimal,W_writer_optimal.html,3,left,right,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,6,82,P4_DOC_B,8,W_writer_optimal,W_writer_optimal.html,3,right,left,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,7,83,P6_DOC_B,12,D4_derived,D4_derived.html,5,right,left,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,8,84,P16_DOC_A,31,D5_maximal,D5_maximal.html,6,right,left,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,9,85,P11_DOC_A,21,D1_derived,D1_derived.html,1,left,right,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,10,86,P5_DOC_B,10,D3_derived,D3_derived.html,4,right,left,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,11,87,P9_DOC_A,17,D4_derived,D4_derived.html,5,left,right,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,12,88,P3_DOC_B,6,D2_derived,D2_derived.html,2,right,left,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,13,89,P14_DOC_B,28,D1_derived,D1_derived.html,1,right,left,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,14,90,P8_DOC_B,16,D1_derived,D1_derived.html,1,left,right,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,15,91,P18_DOC_A,35,D2_derived,D2_derived.html,2,right,left,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,16,92,P3_DOC_A,5,D4_derived,D4_derived.html,5,left,right,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,17,93,P1_DOC_B,2,D5_maximal,D5_maximal.html,6,right,left,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,18,94,P19_DOC_A,37,W_writer_optimal,W_writer_optimal.html,3,left,right,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,19,95,P6_DOC_A,11,D2_derived,D2_derived.html,2,left,right,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,20,96,P17_DOC_B,34,D3_derived,D3_derived.html,4,left,right,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,21,97,P4_DOC_A,7,D5_maximal,D5_maximal.html,6,left,right,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,22,98,P5_DOC_A,9,D1_derived,D1_derived.html,1,left,right,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,23,99,P18_DOC_B,36,D4_derived,D4_derived.html,5,left,right,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,24,100,P16_DOC_B,32,W_writer_optimal,W_writer_optimal.html,3,right,left,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,25,101,P7_DOC_A,13,W_writer_optimal,W_writer_optimal.html,3,left,right,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,26,102,P9_DOC_B,18,D2_derived,D2_derived.html,2,left,right,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,27,103,P17_DOC_A,33,D1_derived,D1_derived.html,1,right,left,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,28,104,P12_DOC_B,24,D4_derived,D4_derived.html,5,right,left,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,29,105,P10_DOC_B,20,W_writer_optimal,W_writer_optimal.html,3,right,left,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,30,106,P7_DOC_B,14,D5_maximal,D5_maximal.html,6,right,left,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
n30-round2-three-versions-v1-slot-01,,1,3,31,107,P15_DOC_B,30,D2_derived,D2_derived.html,2,right,left,3,text-enrichment-reader-round2-n30-v1:participant:1:documents:set:3:rotation:26,,,n30-round2-three-versions-v1,2026-09-04-r2-v1
